path	previous_layer	winning_layer
source/plugin/xigua_hb/template/touch/tab1.php	r02-site-overlay	r04-site-overlay
source/plugin/xigua_hb/static/tgb-r04/discovery-light-grid-r04.css	r04-site-overlay	r05-site-overlay-v5
source/plugin/xigua_hb/template/touch/my_new.php	r02-site-overlay	r06-site-overlay
source/plugin/xigua_hb/template/touch/vip.php	r02-site-overlay	r07-site-overlay
done/app.html	r08-site-overlay	r09-brand-overlay
m/gywm.html	r03-site-overlay	r09-brand-overlay
m/help.html	r03-site-overlay	r09-brand-overlay
source/plugin/view/module/site/sign.php	r08-site-overlay	r09-brand-overlay
source/plugin/xigua_hb/template/touch/pub.php	r05-site-overlay-v5	r09-brand-overlay
source/plugin/xigua_hb/template/touch/vip.php	r07-site-overlay	r09-brand-overlay
source/plugin/xigua_hh/template/touch/myfans.php	r08-site-overlay	r09-brand-overlay
template/comiis_app/touch/common/showmessage.php	r06-site-overlay	r09-brand-overlay
